"Ident";"Feldnummer";"Bezeichnung";"Vollkosten";"Erloes";"Entsch1";"Entsch2";"Abg_RPV";"Abg_3";"X3_1";"X3_2";"PKM";"Einsteiger";"Prod_km";"Beiwagen_1";"Fahrpl_Std";"Prod_Std";"Beiwagen_2";"Platz_km";"PersKosten";"dat_o1";"dat_o2";"bem0";"bem1";"bem2";"bem3";"bem4";"bem5";"BDH_ID";"PeriodIndependentId";"AnzahlKurspaareMoFr";"AnzahlKurspaareSa";"AnzahlKurspaareSo";"LinienLaenge";"BelastungTeilstueckeMin";"BelastungTeilstueckeMax";"jahr";"TU"
20;"820/845";"S8 (Schaffhausen -) Kreuzlingen - Romanshorn - St. Gallen";"13348851";"7037251";NA;NA;5331942;"0";"0";NA;"33154848";"2357208";"1179363";NA;"27314";"27716";NA;"247981605";NA;"31.08.2019 00:00";"82013-21-6";NA;NA;NA;"";NA;NA;31796;2177;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
36;"870/820/830";"RE Herisau - St. Gallen - Kreuzlingen - Konstanz";"5895842";"3090312";NA;NA;1093743;"0";"468747";NA;"15926081";"723895";"589139";NA;"9107";"12483";NA;"114342445";NA;"31.08.2019 00:00";"87014-21-2a";NA;NA;NA;"Abgeltung Landkreis und Stadt Konstanz";NA;NA;31956;2344;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
21;"821";"S29 Winterthur - Stein am Rhein";"11469132";"2756885";NA;NA;9062651;"0";"0";NA;"12604039";"1289128";"919989";NA;"19226";"26633";NA;"212853988";NA;"31.08.2019 00:00";"82111-21-1a";NA;NA;NA;"";NA;NA;31259;1194;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
22;"830";"S14 Konstanz - Weinfelden";"7725751";"2412049";NA;NA;4098664;"0";"0";NA;"9656710";"754792";"582178";NA;"12913";"19412";NA;"107143787";NA;"31.08.2019 00:00";"83011-21-9";NA;NA;NA;"";NA;NA;31295;1188;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
5;"750/840/830";"S Z¸ÅÅrich - Winterthur - Weinfelden - Konstanz";"1092913";"700489";NA;NA;0;"48247";"0";NA;"2799534";"89962";"119471";NA;"1733";"1995";NA;"26819250";NA;"31.08.2019 00:00";"83012-21-1b";NA;NA;NA;"Abgeltung Landkreis und Stadt Konstanz";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
24;"835";"S10 Wil SG - Weinfelden - Romanshorn";"9231104";"3469770";NA;NA;5716295;"0";"0";NA;"14801515";"1270432";"928476";NA;"18665";"22385";NA;"137721010";NA;"31.08.2019 00:00";"83511-21-2a";NA;NA;NA;"";NA;NA;30595;1326;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
25;"840";"S7 Weinfelden - Romanshorn - Rorschach";"10426511";"4546907";NA;NA;6522180;"0";"0";NA;"21209912";"1755086";"743635";NA;"13740";"27155";NA;"142847570";NA;"31.08.2019 00:00";"84013-21-1a";NA;NA;NA;"";NA;NA;31260;1201;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
27;"840";"S30 Winterthur - Frauenfeld - Weinfelden";"7393257";"2777501";NA;NA;4421023;"0";"0";NA;"11510095";"941467";"565405";NA;"9579";"15513";NA;"113402768";NA;"31.08.2019 00:00";"84011-21-2a";NA;NA;NA;"";NA;NA;31404;1797;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
28;"850";"S35 Winterthur - Wil SG";"8308709";"3583460";NA;NA;4671668;"0";"0";NA;"14917000";"1222537";"552045";NA;"10320";"17130";NA;"116873121";NA;"31.08.2019 00:00";"85011-21-1a";NA;NA;NA;"";NA;NA;31261;1192;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
31;"852";"S5 St. Gallen - Weinfelden";"10436811";"3418228";NA;NA;6888450;"0";"0";NA;"17507486";"1163819";"917011";NA;"17755";"22116";NA;"182447113";NA;"31.08.2019 00:00";"85211-21-1a";NA;NA;NA;"";NA;NA;31263;1196;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
16;"820";"SN3 (Winterthur -) Schaffhausen - Stein am Rhein";"53963";"10738";NA;NA;95023;"0";"0";NA;"40427";"4619";"4210";NA;"80";"89";NA;"757775";NA;"31.08.2019 00:00";"82021-21-1b";NA;NA;NA;"";NA;NA;30675;1512;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
17;"820";"Stein am Rhein - Kreuzlingen (Nachtangebot Bus)";"44071";"3073";NA;NA;54469;"0";"0";NA;"9612";"1492";"4306";NA;"111";"123";NA;"64595";NA;"31.08.2019 00:00";"82062-21-1b";NA;NA;NA;"";NA;NA;31608;1942;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
23;"830";"SN Konstanz - Weinfelden";"84417";"20133";NA;NA;153450;"0";"0";NA;"76378";"5132";"6997";NA;"122";"158";NA;"825684";NA;"31.08.2019 00:00";"83021-21-1b";NA;NA;NA;"";NA;NA;31336;1703;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
26;"840";"SN Winterthur - Frauenfeld - Romanshorn";"222704";"97128";NA;NA;303976;"0";"0";NA;"422479";"25239";"17717";NA;"260";"303";NA;"3757484";NA;"31.08.2019 00:00";"84021-21-1b";NA;NA;NA;"";NA;NA;31348;1705;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
30;"850";"SN Winterthur - St. Gallen";"239083";"197995";NA;NA;221390;"0";"0";NA;"990632";"45715";"18040";NA;"284";"306";NA;"3912935";NA;"31.08.2019 00:00";"85021-21-1b";NA;NA;NA;"";NA;NA;31938;2270;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
32;"852";"Weinfelden - Gossau (Nachtangebot Bus)";"59839";"4783";NA;NA;99120;"0";"0";NA;"18838";"2038";"5524";NA;"126";"132";NA;"497130";NA;"31.08.2019 00:00";"85261-21-1b";NA;NA;NA;"";NA;NA;32284;1706;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
19;"820";"SN Kreuzlingen - Romanshorn";"59092";"11173";NA;NA;108722;"0";"0";NA;"50424";"4874";"4028";NA;"86";"97";NA;"725044";NA;"31.08.2019 00:00";"82023-21-1b";NA;NA;NA;"";NA;NA;31859;2255;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
35;"870";"SN Romanshorn - St. Gallen";"48390";"18190";NA;NA;67931;"0";"0";NA;"82868";"5565";"3389";NA;"64";"75";NA;"610097";NA;"31.08.2019 00:00";"87021-21-1b";NA;NA;NA;"";NA;NA;49072;12578;NA;NA;NA;NA;NA;NA;"2021";"Thurbo"
35;"70.605";"605 Oberstammheim - Ossingen - Andelfingen";"819'818";"329'336";0;0;360210;"0";"0";0;"747'808";"129'294";"169'653";0;"4'404";"5'054";0;"15'268'744";"351'444";"0";"0";"0";0;"0";"0";"0";"0";33513;1894;16;14;13;15;60;318;"2021";"ZVV"
51;"70.806";"806 Turbenthal - Bichelsee - Dussnang";"410'611";"72'155";0;0;121887;"182'831";"182'831";0;"136'543";"47'844";"79'710";0;"1'611";"1'934";0;"4'782'602";"148'491";"0";"0";"0";0;"0";"0";"0";"0";33515;1892;18;7;6;13;27;72;"2021";"ZVV"
